強欲,ラベル_強欲,嫉妬,ラベル_嫉妬,怠惰,ラベル_怠惰,憤怒,ラベル_憤怒,暴食,ラベル_暴食,傲慢,ラベル_傲慢
@kai_smile0403 本当はちゃめちゃだけど可愛いけんなんでも嬉しいわ🥺🫶🏻（チョロオタ）,2,面接まだだけどきっと落ちた！💩,2,だるすぎやろww,2,基本的に受けを溺愛してる攻めを好きな傾向があるからお前のことで俺が怒れるわけないだろうっていう攻めの台詞とその精神がめちゃ好きなんだけどこれもし受けが信念曲げたり万が一にも道を外れた時は喝を入れるだろうと思って悩んだけど一緒に落ちていくの悪くないのかもしれないともおもった,2,"RT @AgoonerA: アーセナルまじ頑張ろうな
とりあえずほんと負けたくない https://t.co/Llf8JBI6BN",2," @manga_bl_kd: セール「恥しらずな夜 (バンブーコミックス 麗人セレクション)」
価格309円(-303円49%)
https://t.co/K0O1AuIYzP
直野儚羅、竹書房、Kindle
応援 https://t.co/YcQ2EXgZQu
試読 ht…",2
"はるなな…見送り〜
配信も買わないかな…
遙かは大好き❣️
でもななは自分の中ではなんかモヤモヤしてると言うか、なんか違うってと言うのも違うんだけど、素直に推せない…
√も阿国は好きなんだけど…
他はしっくり来てn…
分岐まで長す… https://t.co/NK3cxaAD0G",2,"@koju_sin_ei_tai @kame_juro 薬は御守りとして🤣🤣🤣

弦🐶ならきっと大丈夫っ！",2,仕事だるすぎワロタ,2,えいじゅんが手痛めてたとして、継投はとうじょう、、？抑え、、、？みたくない、、、？,2,@kutemaru_dayo22 しゃんだけには、負けたくない,2,@sharenewsjapan1 何を言ってんだか、、恥しらず,2
"SEVENTEEN  トレカ交換

譲  ディノ

求  ホシくん

同異種なんでも🙆🏻‍♀️

気軽に声かけて下さい🙌🏻 https://t.co/dE54Uf9hGA",2,"RT @miina0316tmrys: NHK様
いつもメンバーの起用ありがとうございます
なかなか難しい事なのでしょう
が、、、
どうかどうか届きますように
#SMAP はファンとかそういうの関係なくきっとみんなの中にいます
沢山の人がが元気になれます
#SMAP完全版
#プ…",2,人肌恋しすぎてだる絡みキメてるかもしれん 蹴って,2,"@miyonin0617yspj 楽しみーーーー！！
見る時間あるんか？私！！だけどww
タングそうだったのねー😊
本当すごい✨✨
ウヨンウ今日見るー！！
でも終わっちゃうの寂しくてみたくないーになってる笑",2,@risa526_t 松本には負けたくないけど、本当だ！人数違いすぎますね😳,2,"@saiwonkyu @HIGH_MACS_501th 恥しらず。
中学から勉強し直し。",2
"#投資詐欺 に対するオンライン #署名活動 へのご協力をお願いいたします。
統一教会や、資産所得倍増や、投資非課税や、買い増し、不動産、株、年金、なんでも善人のフリをしてすぐ近くに近づいてくる詐欺から親やお子さんを守りましょう。… https://t.co/9qQ68sqI6K",2,きっと東京だから今日から節約生活に入ろう。,2,"1時から学校だるすぎ
飯食えねぇし家飯ないのに",2,細胞レベルでしてみたくない？,2,"RT @rinko_rinko0619: @doragon_Kikuiti 職場近くまできてる。
負けたくない",2,"最大の後見人であった
安倍元首相同様に
平気で嘘のつける人物。

『統一教会関係の月刊誌とはつゆしらず』と恥しらずの弁明に周囲の失笑を買っている。 https://t.co/Dctw1cEF2D",2
"私は5年〜10年経たないと新薬は体に入れない派だから件の💉は未摂取だが、薬を飲んで予防とか言っている呆れた連中は生理と薬理の基礎を学べとすら思う…それ程に哀れ。
薬害も自分のためにも学んだほうがいい。
特になんでも多量摂取すれば効くと思っている者達程。",2,"@96yochi48 きっと大丈夫👍
明日は頑張ってね🤗",2,は～短距離チャンミだるすぎだろ～～～～～～～～～～～～,2,@Aun9_ キスシーン覚えてないはしぬもうほんとにキス怖いみたくない、、しぬ,2,"@doragon_Kikuiti 職場近くまできてる。
負けたくない",2,@manjiya7 恥しらずだから政治家になれるので～す（ゲラゲラ）,2
"RT @saru_torihiki: 【交換/譲渡】ゆめくろ くじ メイト

譲　カミュ/セブン/ヴィクトル
　　チェッピー/バーン

求　同異種 ユミル
　　異種 アルマ/ラグーン/ゴースト
　　定価+送料

郵送交換希望、1点～◎

ユミルは月を特に探しておりますが、なんで…",2,タルはきっと2凸くらいまでできるとは思うんだけどね.....4凸目指すけど......,2,読書感想文下手だな　感想文じゃなくて内容を長々と書いてたわだるすぎ,2,RT @amnesiac0511: →Twitterの片隅で、何度もバズツイにビビりながら引リツしたりいろいろやってみても、日に日に差別ひどくなって、無力感に苛まれたり、もう辛すぎてみたくないと思ったり、いや特権あんだから行動しろよと自己嫌悪したりしてたけど、なんかたったひとり…,2,"@yasu19740311 おはようございます！
今日から巨人戦、負けたくない！",2,みたいなの、清談会で「夷陵老祖が〜藍氏は〜」とか言うモブの前でやって欲しい。思追と景儀は恥ずかしそうにするし聶懐桑は爆笑してるし江澄は(何してんだあの恥しらず夫夫………)って頭抱えてる,2
RT @inko_taoru: これなんでも鑑定団のゲストの着とる服デジたんのちゃうか https://t.co/Ho03nNjpNg,2,"Shazamを使って
BE:FIRSTの
Brave Generationを
発見しました(っ¨̮)⊃💙

きっと最高 
We know💙We go💙

#BEFIRST 1st album
〚BE:1〛8/31 release… https://t.co/PX3sNcchRu",2,スタッフの予約ミスか知らんけどまじで気分悪すぎワロタまーじほんと見た目で損してるこちとらベテランなんだわ^_^若く見えるけど若くないんだわ^_^店長クラスの年齢だぞくそが^_^はるちゃんよく頑張ったね…って言われたけど、まぁ私上手いんで^_^はーだるまじ気分悪,2,"@houmei20 @mitibataga 🤣🤣🤣ボケてる！
ボケベージェフ？
それとも笑いを取りにはしった？
やだわー、双眼鏡の蓋付けたまんまイキってみたり、三行半突きつけたの忘れたり。
歳取ってもここまでボケたくないわ〜🤣",2,柔軟剤ドボドボするクマには、、ま、、負けたくない！,2,@q_n_adachi: 対立・混乱が常時のいわば「二流国家」ならいざしらず、前大統領が捜索対象になり、それを対立する政党のせいにする非難声明を出すなどという事態そのものが異常である。アメリカにこんな大統領がいたことがあるだろうか？　輝かしい歴史にドロを塗るな、恥を知れ、…,2
"@superwhitestar これで「参政党最高！」とかに票を入れる人はなんなんでしょう？
民間業者に迷惑かけてることの自覚もないのか。
内部でも諌めないと、必ず参政党の足を引っ張ることになると思う。",2,"RT @enogaku_seika: 😊お菓子作りは笑顔作り😊
おはようございます☔️
在校生も気持ちが入る一コマ！
昨日のオーキャンはロールケーキ♪
ポイントの一つにシート巻きがあります。サポートしている左の在校生が無意識に「エア巻き」しているのがわかりますね😊
きっと参加し…",2,バイトだるすぎて2週間休み取った勝手に,2,"@tsurai_munou やめろって。そんな従順な無能みたくないねん。
狂犬みたいに逆らえって。絶対明日遅刻しろ。",2,た…高すぎる作画コストに負けたくないわね…,2,対立・混乱が常時のいわば「二流国家」ならいざしらず、前大統領が捜索対象になり、それを対立する政党のせいにする非難声明を出すなどという事態そのものが異常である。アメリカにこんな大統領がいたことがあるだろうか？　輝かしい歴史にドロを塗るな、恥を知れ、トランプ！,2
"RT @manomano_farm: 「バイバイ」の語源って「さよなら」ではなく「いつもあなたのそばにいるよ」なんだってね。もともとは""God be with you""（神があなたと共にありますように）と相手の幸運を祈る言葉であり、それが""Good-bye""へと変化したそうです…",2,"きっと瀬戸くんもお空からみんなのこと見てた思うよ
ベスト8すごいじゃないの！",2,体だるすぎやろ、、合計1時間半も3度寝したらあかん,2,@softarmor77 リッリ「ONYXってアイドルって聞いてたけど。なんで私達のヤマにそのアイドルさんがいるのかな」魔女様「……み、道にまよっちゃってー」純蓮ちゃん「いや迷って港湾まできたら本気でヤバい方向音痴ですよ！」魔女様… https://t.co/fmP1pXStOi,2,"⚠️ライバルと差を付ける方法⚠️

あなたは間違った練習をしていませんか⁉️
無駄な時間を過ごしていませんか⁉️

ライバルに負けたくない‼️
ライバルと差をつけたい‼️

そんなあなたは読んでください‼️↓↓↓↓↓↓
https://t.co/eOUpX69pNr",2,ボクはすっかり恥しらずな男になったのです！！,2
なんなら自分の友人も2枚余らせてるらしいし、周りでも濃厚接触者で行けなくなった人いる,2,"RT @syounen_t_sako: 天月はまじヲタク
ヲタク気質だからこそ、ここまで突き詰められるのだと思いました
ライブお疲れ様だぜ
きっと愛っても、大事に歌ってくれてありがとう
みんなに愛される楽曲であり続けますように！ https://t.co/okgcQlyuAf",2,全身だるすぎて右足が爆発しそう,2,"RT @fffenichan: ふぇにゆぺ最近ないね？

ふぇにゆぺ自撮り

みんながどんくらい見たいかであげようかな

あれ？みたくない？",2,"RT @ogasawaraken: イケメン戦国The Stage
本日３公演目が終演しました
ご来場頂き誠にありがとうございました
最後まで走り切りたいという想いと、終わりたくない想いが交錯します。この仲間達と出会えて、幕が上がって良かった
明日で早くも折り返し
まだまだ上が…",2," @manga_bl_kd: 宣伝「恥しらずな夜 (バンブーコミックス 麗人セレクション)」
https://t.co/K0O1AuIYzP
直野儚羅、竹書房、Kindle
応援 https://t.co/RbII32PqMv
試読 https://t.co/dRuVqmk…",2
"@giogiodati @Maril_level5 基本的なペットボトルは概ね試したけどなんでも入りましたよ。
ただ、缶ボトルはペットボトルとネジ切りのピッチが違うかもね",2,マネージャーズきっと大変だったろうな。特に三浦さん。お疲れ様,2,受講中にパソコンいきなり再起したんだけど... だるすぎ,2,考察みたくないいいいいい,2,"【副作用のない精神安定剤 146】

今週の1錠は、

「むやみに戦いを挑まない
　ことが、、自己愛。」

人に負けたくない！勝ちたい！
そう思うほど、いつの間にか
自分と戦っていて、自分に安心
できなくなります。

負けるが勝ち… https://t.co/0ncaDOYAqa",2," @manga_bl_kd: セール「恥しらずな夜 (バンブーコミックス 麗人セレクション)」
価格309円(-303円49%)
https://t.co/K0O1AuIYzP
直野儚羅、竹書房、Kindle
応援 https://t.co/YcQ2EXgZQu
試読 ht…",2
"ごめんよ…フォロワーのみんな…
ぺるしあは一生懸命ツイートしてるんだけど
面白いことなんも言えねぇんだ…
でもな…でもな…
クソツイすることにかけては
ぺるしあ…誰にも負けません！！！！
うひょーーーーーーーーーー？！？",2,"RT @YUKOsakana: 白カジキマグロ🐟
2.18m きっと実際は3m超え！110kg！ https://t.co/x37rPQYMEe",2,だるすぎ,2,RT @titti_and_sally: わたしもできることなら ヘビやカエルみたいに 土の中へもぐって 冬眠してしまいたい あなたの冷たいそぶりや 困ったような視線や そそくさとした後ろ姿や とりわけ だれかさんといっしょのとこなンか みたくない!!みたくない!!,2,東京に来た。試合始まるまでは友達と遊んで夜は東京ドームで中日を応援してくる！この3連戦は絶対に負けられないし負けたくない。打倒読売！,2,わいはこの右側で立って写り込んだ男を一生許さない、指定席のV2客席で、自分の客席でもない、通路で、良いアングルで撮りたい為だけに立って撮影、１度しかないスタートで常識の無い自己中心的なこの撮影男、このあと２、３人の人から怒鳴られて… https://t.co/d3I8oCevJf,2
@msdnokaogaii 大好きさ…i7だとたまいお、りくいお（逆だ、すまぬ）、楽ヤマ、巳悠、トウ悠とか…地雷ないし左右固定もあんまない！ツンデレ受けがすきです。絵が好みなら比較的なんでもみれるって最近気づいた,2,"RT @realdgame: ┏━━━━━━━━━━━━━┓
 HOTELブルーローズの99の部屋
　大好評販売中！
┗━━━━━━━━━━━━━┛

自宅で遊べる新作リアル脱出ゲームは謎解きサスペンスゲーム！
この結末にあなたはきっと驚愕する…！

👦＜1人でもじっくり遊べる…",2,バイトだるすぎて草,2,あぁああああああああ！！！！みたくない！！！！みたくない！！！！助けて！！！！,2,どんなに激しい練習をしても、あの張りつめた気持ちや負けたくないという闘志を全身で感じることはできません,2,一切のもったいぶった装飾はないけれども、先生は真の聖者だった。その寛容も、もしこちらが幾分なりとも恥を知る者なら、狎れて甘えることはできなかった。先生の前に出るとき、われわれはしらずしらずに自分もまた独立の人格である義務を感じた。（『三谷先生の追憶』）,2
"@satocolo3010 🤍みちゅ／なんでも
🫧15歳／👧🏻💗
🫧7月6日
🤍🐶❤️くん
🤍タメ大歓迎❕
🤍大歓迎❕
🤍DMおっけー❕
🫧もっと絡みたい❕",2,"@pachiwakameme 可愛いし天然はモテますねきっと😌
人妻さんだと思いますが😂",2,ほんとだるすぎ,2,無理みたくない、、、 https://t.co/jhTRfJqR0g,2,"久しぶりに負けたくない感情出てきた

実は負けず嫌いだよ、スイッチが常にオフなだけで
やる気スイッチ入るの何年振り？😀",2,２４４ 、 恥をしらず、烏のように厚かましく、図々しく、ひとを責め、大胆で、心のよごれた者は、生活し易い。,2
"RT @manomano_farm: 「バイバイ」の語源って「さよなら」ではなく「いつもあなたのそばにいるよ」なんだってね。もともとは""God be with you""（神があなたと共にありますように）と相手の幸運を祈る言葉であり、それが""Good-bye""へと変化したそうです…",2,"@Kamishiro_Lei おつレイ！
自炊するか…(きっとしない←)

写真でなんか企画やるのもおもろそうね！w",2,"朝から身体がだるすぎてやばい〜🥲
金曜日だし頑張ろ🥲",2,RT @titti_and_sally: わたしもできることなら ヘビやカエルみたいに 土の中へもぐって 冬眠してしまいたい あなたの冷たいそぶりや 困ったような視線や そそくさとした後ろ姿や とりわけ だれかさんといっしょのとこなンか みたくない!!みたくない!!,2,私たちは告白すべきなのです　喧嘩に負けたくないからやってんだ　やっつけたいからやってんだ　俺は負けた自分に耐える強さがないッ　だからこっそり喧嘩の練習をしてるんだとッ(Vol.177　神山徹),2,ちいかわ作者に影響されて唐辛子の佃煮注文してしまった 恥しらず,2
"RT @anime_Fuuto: ／
アニメ #風都探偵
予告PV第2⃣弾公開‼️
＼

変身シーンはもちろん、
さまざまなフォームの #仮面ライダーW、
待望の #仮面ライダーアクセル も登場🔥

🔽ご視聴はこちら
https://t.co/mhTNiBtmrd

#FUUT…",2,"RT @kuge_kyohei: コメント、載せて頂きました。楽しみにしててくださいね。全員、素敵ですから。👻見えるか分かりませんが、心の目で観てほしいです。もし見えちゃった時にはきっと、目が足りませんから。

https://t.co/fQNNQk7aAF

#OMゴースト",2,@naamayo_jeon そんなん知ってるよ！俺もいつもは下書き書いてから寝るんだけど最近だるすぎてやってない,2,"@LfNSoJhjksI1aJm いや審判が…ほんとに…みたくない笑

ソフバとは相性いいですからね！
またやっちゃうぞ🤙🏻",2,涅槃はもう負けたくない,2,"@puka2_puri2 社会貢献はしてないでっすw
それでも子供ができた段階で妹に「子供いるんだからその趣味やめなよ」って言われて一時期何も見てなかったんです。でも旦那も我慢してたようである時アニメみ始めたんですよ、それで解禁w… https://t.co/KySd9FdAhx",2
"RT @_necoze_: などと勝手な言葉を連ねました。駄文拙文失礼しました。
もともと、さまざまな媒体やインタビューで松村さんが私の映画を見てくれていると発しているのを数年前から知っていて、ご一緒するならどんな役柄かなぁ、みたいなことろから勝手に書いたものです。田中さんや目…",2,"会うまでの一つ一つの準備が終わると

段々と実感が湧いてきて

楽しい気分もUPして

待ち遠しくてたまらない

この先何回会っても

お互いがこの気持ちを持ち続けたら

ずっと一緒に居られるんだろうな

…きっと(*´-`)",2,色んな界隈に居たけど、ファンが勝手に推しの言うことを曲解して燃やすなんて聞いたことないし、ファンの小さい、でもめちゃくちゃ不快な言動の多さにも呆れるし、ファンだるすぎでしょ。。,2,わたしもできることなら ヘビやカエルみたいに 土の中へもぐって 冬眠してしまいたい あなたの冷たいそぶりや 困ったような視線や そそくさとした後ろ姿や とりわけ だれかさんといっしょのとこなンか みたくない!!みたくない!!,2,RT @shippko: アダルトチルドレンは、人間関係を衝動的に断ちたくなる。これは「負けたくない」「勝ちたい」「優位でいたい」という思考のクセから来るもの。大好きだったのに嫌いになるし、思い通りにいかない相手は敵対視。でもコレ、相手からの否定を恐れた防衛反応。傷つくのが怖い…,2," @SatoMasahisa: 【知らないと後悔する　日本が侵攻される日】
ロシア、中国、北朝鮮に囲まれた我が国の危険性は、日増しに高まるばかり。
元自衛官の政治家である佐藤が、日本防衛の落とし穴を指摘します。
是非ご一読下さい。

8/24発売、予約受付中
https:/…",2
RT @kzhy_enst____: みんなどれ派⁉️さまざまな界隈のオタク達‼️気になるので見たら是非押してくれ‼️‼️‼️‼️‼️,2,"@nanahaku2701 いつものホビなら、触られたら「きゃー💦」とか言いそうだもんねww
きっとそんな余裕もないくらいに、カチカチに、ど緊張してたのかも〜

来週も楽しみだよね💜",2,@pigyykurosawa @katyuponpoko だる絡みしすぎ！w,2,クレカの請求ちゃんと見た方がいいんだろうけど怖くてみたくない,2,RT @BKazki: 僕をバカにした子たちを見返してやりたいとも思いました。最初は楽しかったです。でも生き物のことだけは絶対に負けたくないって思っているうちに、すごいことをやらなきゃって思うようになって……生き物の観察をするのが楽しくなくなりました（第7話）,2,@s_w_s_m: 教団がテロや暗殺を起こしたわけではなく、暗殺犯が恨んでいたらしいというリークだけで特定の宗教に対する憎悪が加熱して、まるで反社会的勢力との関係であるかのように吊し上げが発生する状況。毎日毎日火付けを楽しむマスコミも躍り狂ってる国民も愚かで醜い限りだ。,2
リーダーと称される人たちや、さまざまな分野で成功をおさめている人たち全員が共通してもっている特質のなかで最も重要なのが「己を知っている」ということです。彼らは、自分が何を信じ、何を貫きたいか認識しています。,2,"@ruruponzu1202 応援してあげたい気持ちは十分あるんですけどね。
逆に俺が塩対応になればいいのかな？🤔

うちの関係は普通じゃないんですよ💦
彼氏はある意味部下。そこで彼女に猛アタックをされた。断りきれなかった俺がいけ… https://t.co/H9x7i1fXoZ",2,昨日稼いだから今日面接行くのだるすぎてまだ寝てる😴,2,"くるのがおそーーーーーーーーい！！！！！！！！！15000。

来月の引き落としまじでみたくない https://t.co/eHZI7QDror",2,"凄いんだよ、嫌な奴だけど…目標も…自身も…体力も…""個性""も、僕なんかより何倍も凄いんだ。でも……だから今は、負けたくない…な…って【緑谷出久/僕のヒーローアカデミア】",2," @nntnarabot: ちなみに奈良県はかぐや姫の広陵町のみならず、桃太郎すら田原本町がモデル地であると言い張っている。

だが、浦島太郎はそうしない。

何故か。海が無いからである",2
RT @mt3678mt: とどめの文春砲。「旧統一教会に関係するさまざまな指摘を国民から受けている。政治の信頼を確保するために政治家としてどうあるべきか。自分自身をしっかり点検してほしい」。昨日、記者会見でこんなことを言った岸田首相。自分自身の“点検”もできていなかったらしい…,2,"RT @RUdo_159357: そう、髪色変更自体を否定してる訳では無い。
ぶっ刺さった人だっているだろうし。

ただ、それが合わないって人もいるからせめて選べるようにはして欲しいという話
なんなら今回の衣装普通の髪色でも相当似合うと思うんだ
選べるようにするだけで楽しみ方広…",2,"こういう寒いこと言われると何？ってなる。私が病んで荒れてる時にだけ寄って俺優しいですよアピに付き合わされるのだるすぎ笑
お前の自己満オナニーに私を巻き込むなや https://t.co/mToazfHZpf",2,"消しても沸き続けるな
規約違反者ども
みたくないわー
 #ぷにぷに",2,色褪せてく 現実に揺れる 絶望には 負けたくない 私が今 私であること 胸を張って 全て誇れる! (only my railgun/とある科学の超電磁砲),2,第１子が出生した時の母親の平均年齢をみると、2008年は1975年よりも約４歳上昇している。（平成23年労基）　（第1子出生時の母の平均年齢は上昇傾向にあり、平成23年は30.1歳である。）,2
RT @7WBRahxuAG: ほとんど知られていなかった、女たちの戦争画を卒論から研究し始めて20数年。この作品に出会わなければ研究者にはならなかった。そしてさまざまなレベルの困難がありました。こうして取り上げられることに隔世の感。否定されても諦めずに続けて良かった。,2,"なんとなくなんだけど、9月4日に何かありそうな気がするよ🗓✨

だって、メンバーのスケジュール空いてそうなんだもん💦

きっと🇰🇷で何か撮影するね🎥🎞",2,朝から眠いのと、身体だるすぎてくそイライラする。明日も仕事だる(｡-_-｡),2,もう残塁みたくない😭😭😭宇佐見さんたのんだ🔥🔥🔥🔥 #lovefighters,2,よ～し、うどんいっぱい食べて身長伸ばすぞ…！絶っっ対に田伏くんには負けたくない……！！,2,BANANA FISHは心に深い傷を残していく作品である。しかしそれでも読んだことに後悔することはないのだ。（号泣）,2
"RT @oowareware1945: 「天落記」感想編！全ての時代を振り返るぜ！【マインクラフト】
が投稿されました。

実況活劇「天落記」クランクアップ直後に撮影された出演者の感想戦！
撮影中に起きたさまざまなハプニングとは……？

動画はこちら→https://t.co/…",2,"過去に別れを告げて
前を進む覚悟😭
だめよーその選択がきっと
#中島裕翔
 #純愛ディソナンス",2,@uushishiu51 だるすぎ(),2,悪役令嬢に転生する宮田俊哉とその許嫁の第一王子玉森裕太みたくない…？転生前の令嬢はむちゃくちゃ悪事を働いていたけど(ありきたりですが)、宮田くんの人の良さと明るさでどんどん素敵な令嬢になっていくんだよ…そんな令嬢に惹かれていく玉森王子…,2,僕をバカにした子たちを見返してやりたいとも思いました。最初は楽しかったです。でも生き物のことだけは絶対に負けたくないって思っているうちに、すごいことをやらなきゃって思うようになって……生き物の観察をするのが楽しくなくなりました（第7話）,2,"7.
英語版にあった聖書の章節番号の間違いをいくつか直しています。原著であるフランス語版でも間違っていたりするので、章節番号に関しては原著を含めても最も正確な版ではないかと自負しています。",2
RT @furyjaymy: 統一教会は世論の力を得て排除する動きになっているがモラロジーはどうか。宗教団体（実態は別として）ではなく霊感商法のような被害もない。ただ思想は極めて右寄りで政官財さまざまな人脈に浸透している。そして多くの市民はそれを知らない。今後の動向に注目ししっ…,2,"【大した失敗などなかった】
緊張する場面の前には
「起こりうる最悪の出来事をイメージ」すると良いです。

終わった後に、どんなに失敗しても
それはきっと最悪ではないです。",2,ほんと朝からだるすぎ,2,下の子がチャレンジタッチし始めたのはいいんだけど、問題がわからないってグズグズしだして精神やられてる…こんな気分で配信みたくないのに😔,2,@RusEmbassyJ 救いようのない馬鹿で売国亡国奴の気違いゼレンスキーというか その背後に居る米バイデンというよりビクトリア・ニューランドら「ロシアに何としても負けたくない」頑なな自滅主義者共は 最早ウクライナ等どうなっても… https://t.co/NJIrbVOM5w,2,第1の習慣が「あなたがプログラマーである」、第2の習慣が「あなたがプログラムを書く」ことだとすれば、第3の習慣は「あなたがプログラムを実行する」あるいは「プログラムどおりに生きる」ことである。,2
"RT @dozle_official: 今週末は『【ドズル社】夏休みスペシャル！27時間生放送 』を開催‼️🎆✨

🦍日時
8/27(土)21:00～8/28(日)24:00
🎥配信
ドズル社チャンネル
※ゲームにより各個人チャンネルでも配信予定

ドズル社史上最長の生放送！メ…",2,"RT @qFFeufkoWQX9oZG: おっしゃる通りです
だからこその馬場さんなのかな？とも思います

馬場さんはきっと若手の成長を見届けたいだけの思いで今回立候補されたのでは？と個人的には思います
若手の成長はきっと早い
そして吉村世代が代表に❗
今回は時期的に難しかった…",2,起きてはいるがだるすぎて業務開始してません,2,"RT @fffenichan: ふぇにゆぺ最近ないね？

ふぇにゆぺ自撮り

みんながどんくらい見たいかであげようかな

あれ？みたくない？",2,"RT @melody___high: ん、僕(ぼき)の話ですか？それ

...ん〜〜......まぁ簡単な話、癌力(がんりょく)だけは絶対誰にも負けたくない癌ねぇ...w https://t.co/IcswlAlzV3",2,@latina_sama: 京都の四条通にあるお店（イノブン）の外壁にラテン語が刻まれていました。VITAE SAL AMICITIAは「友情は人生の塩である」という意味です。 https://t.co/yh4VTGa3,2
"RT @aichi_peace: 閣僚から次々出る統一教会との関係
そして、辞職も促せず
もうこれしかありません

#内閣総辞職
#岸田やめろ

旧統一教会、関係断絶を徹底　「国民からさまざま指摘」　岸田首相(時事通信)
#Yahooニュース
https://t.co/XWWo…",2,宿題がまずいので(きっと)(恐らく)(今考えてるには)twitter封印します(多分),2,"RT @rena_reve: 美肌の為に
睡眠時間の確保睡眠リズムを整える
人は一般的に平均6.7時間の睡眠が必要。睡眠時間の確保を意識して。
5.4時間睡眠になった場合　どうしても疲れが溜まります。
起きる時間を一定にして、早めに布団に入り、睡眠不足を補いましょう
二度寝する…",2,見ます いやだ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！みたくない！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2,勝負事、負けたくないんで,2," @onoderamasaru: 憂慮すべき事態である。日本を破壊したい活動家はやりたい放題で、結果こんな有様に…政治家も役人も国民も完全に平和ボケだ‼️
https://t.co/SalupNcL https://t.co/QUkALl6Jpi",2
RT @furyjaymy: 統一教会は世論の力を得て排除する動きになっているがモラロジーはどうか。宗教団体（実態は別として）ではなく霊感商法のような被害もない。ただ思想は極めて右寄りで政官財さまざまな人脈に浸透している。そして多くの市民はそれを知らない。今後の動向に注目ししっ…,2,RT @fujii_orin: 君の努力が一つ一つ積み重なるごとに、目には見えない宝石が少しづつ磨かれてく。きっといつかは眩しすぎる程の輝きを放つ時が来ると思うんだ。君の頑張りは無駄じゃないんだよ。 https://t.co/PM16QLPFMc,2,ステージ2承認ボタン押すとフリーズするからアプリ落としたりしてたら敗北扱いなるのだるすぎ,2,@sg009944 でも……わたしが喜ぶところ……みたくない！？！？！？！？！？！？！？！？？！※自己肯定感10000000000000点のオンナ,2,わたし、負けたくないの,2,@J_Nishiwaki_bot: 僕の求める文学の重要な点は思考の内容ではなく、その思考の光沢とか光度である。文学上の価値は宝石そのものではなく宝石の光度であると思う。（文学青年の世界）,2
"RT @miha_089: 抱擁（炭煉）
https://t.co/PNaDI5igQi
無限列車のあと炭治郎が煉獄さんに会いに行っていたら……という話。時系列さまざま無視しているため、そのあたりは目をつむって読んでいただけるとありがたいです。
ネットプリント予約番号【JR8P…",2,"きっとけんぴちゃんはずっと猫背だし髪の毛もっふもふでホントに可愛いねぇ૮ o̴̶̷᷄ ·̫ o̴̶̷̥᷅ ა
#ダウタウンDX",2,今日からまた4連勤とかバイトだるすぎ😮‍💨😮‍💨,2,ついったなにもかもこわくてみたくない　まだ4分しか経ってないんです,2,RT @NgKza: 明日は絶対負けたくない〜〜2位以上を目標にしたガチイベ参加します❤️‍🔥❤️‍🔥❤️‍🔥,2,申し訳ない、情けないヤツである…,2
RT @chutoislam: 「女嫌い」を表明する形式の言説は、性差別というよりはもっぱらコンプレックス、劣等意識の表出ではないでしょうか。さまざまな拡大解釈でそれを性差別だと糾弾する政治運動は存在していてもいいと思いますが、私は現在のところ加わっておりません。,2,"TPO次第でタメ語使った方が年上に気に入られるよきっと。 

#Peing #質問箱 https://t.co/estMd3nW1W",2,免許更新だるすぎだろ！,2,"なんだろうか…
みたくない？
見てて不快？
なものはミュートしよう。
うん。そうしよう。",2,"才能で負けるのはまだ言い訳が立つ、

しかし誠実さや、勉強、熱心、

精神力で負けるのは

人間として恥のように思う。

他では負けても、

せめて誠実さと、

精神力では負けたくないと思う。

-　武者小路実篤　-",2," @ioanmaga: 送り盆である今日は、迎え祀った祖先の霊を送り出すために送り火を焚くのが習わしだ。ブルガリアにもお盆があるが、日本と違うのは、夏以外に冬の盆もある点だ。そして昔は日本にも冬の盆があったそう。
冬の盆は大晦日で、その時に死者の霊が帰って来るとされていまし…",2
"RT @yYsAGj0ff5oAvUN: 岸田首相
「一人一人の事情はさまざまなので、それぞれの責任で明らかにし、説明することが基本だ」
⇒　明日の文春記事について
「自分の責任で明らかにし説明」されるんでしょうね。お待ちしています。 https://t.co/4smnQ1d0…",2,"@necoharu_0909 きっと届いてると信じよう！😂
無事に交換出来ますように🙏",2,だるすぎ,2,"RT @GANSU_GON: 🍏🐰【配信告知】🐰🍏
さっそく今日19時から 「WAVE」 https://t.co/wwKIRIQxci 
にて配信予定〜❕
アーカイブものこる予定❕だ〜け〜ど❕
新天地で初々しいゴンの丸みてみたくないでガンスか？

ひさびさにゆっくりはなせる時…",2,@RusEmbassyJ 救いようのない馬鹿で売国亡国奴の気違いゼレンスキーというか その背後に居る米バイデンというよりビクトリア・ニューランドら「ロシアに何としても負けたくない」頑なな自滅主義者共は 最早ウクライナ等どうなっても… https://t.co/01MOoE5W1W,2,@honnoinosisi555: 「考えてみれば、どこかを冷房すれば、その分の熱はどこかへ放出されなければならない。エネルギー不変の法則、というやつじゃないか。プラス・マイナス、ゼロである。しかし、自然のなかの夕涼み、では、一銭もカネがかからない。」（玉村豊男『日常の極…,2
